Client_Send,Server_Receive,Server_Send,Client_Receive
22:27:51.200030,22:27:51.200172,22:27:51.200199,22:27:51.200267
22:28:51.200420,22:28:51.200565,22:28:51.200600,22:28:51.200674
22:29:51.200803,22:29:51.200878,22:29:51.200912,22:29:51.200985
22:30:51.201140,22:30:51.201248,22:30:51.201279,22:30:51.201316
22:31:51.201480,22:31:51.201576,22:31:51.201611,22:31:51.201656
22:32:51.201787,22:32:51.201893,22:32:51.201923,22:32:51.201959
22:33:51.202100,22:33:51.202179,22:33:51.202198,22:33:51.202266
22:34:51.202444,22:34:51.202564,22:34:51.202579,22:34:51.202669
22:35:51.202800,22:35:51.202908,22:35:51.202938,22:35:51.203005
22:36:51.203163,22:36:51.203270,22:36:51.203297,22:36:51.203365
22:37:51.203477,22:37:51.203590,22:37:51.203621,22:37:51.203708
22:38:51.203868,22:38:51.203976,22:38:51.204006,22:38:51.204074
22:39:51.204244,22:39:51.204395,22:39:51.204426,22:39:51.204534
22:40:51.204686,22:40:51.204788,22:40:51.204819,22:40:51.204926
22:41:51.205084,22:41:51.205227,22:41:51.205257,22:41:51.205325
22:42:51.205482,22:42:51.205635,22:42:51.205666,22:42:51.205773
22:43:51.205937,22:43:51.206043,22:43:51.206074,22:43:51.206142
22:44:51.206300,22:44:51.206402,22:44:51.206432,22:44:51.206502
22:45:51.206658,22:45:51.206760,22:45:51.206791,22:45:51.206859
22:46:51.207082,22:46:51.207218,22:46:51.207253,22:46:51.207328
22:47:51.207491,22:47:51.207638,22:47:51.207672,22:47:51.207746
22:48:51.207930,22:48:51.208042,22:48:51.208073,22:48:51.208140
22:49:51.208336,22:49:51.208443,22:49:51.208469,22:49:51.208509
22:50:51.208701,22:50:51.208858,22:50:51.208893,22:50:51.208967
22:51:51.209136,22:51:51.209240,22:51:51.209270,22:51:51.209312
22:52:51.209436,22:52:51.209511,22:52:51.209538,22:52:51.209577
22:53:51.209743,22:53:51.209854,22:53:51.209885,22:53:51.209923
22:54:51.210095,22:54:51.210232,22:54:51.210262,22:54:51.210339
22:55:51.210530,22:55:51.210606,22:55:51.210636,22:55:51.210708
22:56:51.210878,22:56:51.211025,22:56:51.211056,22:56:51.211122
22:57:51.211283,22:57:51.211380,22:57:51.211418,22:57:51.211464
22:58:51.211620,22:58:51.211723,22:58:51.211754,22:58:51.211823
22:59:51.211953,22:59:51.212078,22:59:51.212109,22:59:51.212147
23:0:51.212307,23:0:51.212448,23:0:51.212482,23:0:51.212557
23:1:51.212725,23:1:51.212845,23:1:51.212875,23:1:51.212913
23:2:51.213073,23:2:51.213177,23:2:51.213203,23:2:51.213273
23:3:51.213446,23:3:51.213547,23:3:51.213577,23:3:51.213645
23:4:51.213817,23:4:51.213890,23:4:51.213921,23:4:51.213993
23:5:51.214161,23:5:51.214260,23:5:51.214291,23:5:51.214355
23:6:51.214515,23:6:51.214622,23:6:51.214653,23:6:51.214690
23:7:51.214858,23:7:51.214970,23:7:51.215000,23:7:51.215068
23:8:51.215240,23:8:51.215347,23:8:51.215378,23:8:51.215415
23:9:51.215576,23:9:51.215687,23:9:51.215717,23:9:51.215757
23:10:51.215921,23:10:51.216022,23:10:51.216049,23:10:51.216117
23:11:51.216271,23:11:51.216373,23:11:51.216400,23:11:51.216504
23:12:51.216657,23:12:51.216759,23:12:51.216789,23:12:51.216862
23:13:51.217021,23:13:51.217171,23:13:51.217197,23:13:51.217264
23:14:51.217409,23:14:51.217518,23:14:51.217548,23:14:51.217588
23:15:51.217730,23:15:51.217804,23:15:51.217834,23:15:51.217907
