Client_Send,Server_Receive,Server_Send,Client_Receive
22:7:6.947474,22:7:6.947584,22:7:6.947615,22:7:6.947725
22:8:6.947884,22:8:6.947972,22:8:6.948005,22:8:6.948058
22:9:6.948211,22:9:6.948297,22:9:6.948329,22:9:6.948408
22:10:6.948557,22:10:6.948670,22:10:6.948702,22:10:6.948779
22:11:6.948928,22:11:6.949045,22:11:6.949074,22:11:6.949121
22:12:6.949275,22:12:6.949395,22:12:6.949425,22:12:6.949472
22:13:6.949628,22:13:6.949782,22:13:6.949811,22:13:6.949919
22:14:6.950071,22:14:6.950157,22:14:6.950189,22:14:6.950265
22:15:6.950415,22:15:6.950527,22:15:6.950556,22:15:6.950630
22:16:6.950784,22:16:6.950897,22:16:6.950926,22:16:6.951002
22:17:6.951163,22:17:6.951274,22:17:6.951303,22:17:6.951380
22:18:6.951532,22:18:6.951616,22:18:6.951647,22:18:6.951725
22:19:6.951880,22:19:6.951995,22:19:6.952026,22:19:6.952102
22:20:6.952255,22:20:6.952371,22:20:6.952403,22:20:6.952478
22:21:6.952654,22:21:6.952764,22:21:6.952797,22:21:6.952876
22:22:6.953030,22:22:6.953149,22:22:6.953179,22:22:6.953291
22:23:6.953454,22:23:6.953569,22:23:6.953598,22:23:6.953645
22:24:6.953804,22:24:6.953922,22:24:6.953951,22:24:6.954025
22:25:6.954182,22:25:6.954306,22:25:6.954344,22:25:6.954435
22:26:6.954597,22:26:6.954709,22:26:6.954740,22:26:6.954819
22:27:6.954979,22:27:6.955090,22:27:6.955118,22:27:6.955194
22:28:6.955388,22:28:6.955543,22:28:6.955573,22:28:6.955649
22:29:6.955814,22:29:6.955924,22:29:6.955954,22:29:6.956031
22:30:6.956196,22:30:6.956313,22:30:6.956346,22:30:6.956420
22:31:6.956582,22:31:6.956705,22:31:6.956747,22:31:6.956794
22:32:6.956947,22:32:6.957059,22:32:6.957088,22:32:6.957162
22:33:6.957316,22:33:6.957427,22:33:6.957456,22:33:6.957529
22:34:6.957684,22:34:6.957800,22:34:6.957830,22:34:6.957939
22:35:6.958101,22:35:6.958262,22:35:6.958297,22:35:6.958381
22:36:6.958530,22:36:6.958647,22:36:6.958810,22:36:6.958884
22:37:6.959067,22:37:6.959183,22:37:6.959216,22:37:6.959330
22:38:6.959511,22:38:6.959630,22:38:6.959658,22:38:6.959705
22:39:6.959883,22:39:6.959999,22:39:6.960029,22:39:6.960076
22:40:6.960307,22:40:6.960465,22:40:6.960494,22:40:6.960568
22:41:6.960706,22:41:6.960847,22:41:6.961007,22:41:6.961091
22:42:6.961259,22:42:6.961377,22:42:6.961405,22:42:6.961451
22:43:6.961611,22:43:6.961728,22:43:6.961760,22:43:6.961808
22:44:6.962011,22:44:6.962271,22:44:6.962431,22:44:6.962477
22:45:6.962690,22:45:6.962809,22:45:6.962838,22:45:6.962915
22:46:6.963018,22:46:6.963108,22:46:6.963141,22:46:6.963243
22:47:6.963412,22:47:6.963523,22:47:6.963552,22:47:6.963626
22:48:6.963794,22:48:6.963893,22:48:6.963927,22:48:6.963982
22:49:6.964152,22:49:6.964270,22:49:6.964300,22:49:6.964375
22:50:6.964549,22:50:6.964637,22:50:6.964670,22:50:6.964783
22:51:6.964948,22:51:6.965105,22:51:6.965134,22:51:6.965211
22:52:6.965367,22:52:6.965520,22:52:6.965549,22:52:6.965622
22:53:6.965781,22:53:6.965904,22:53:6.965933,22:53:6.965979
22:54:6.966147,22:54:6.966262,22:54:6.966291,22:54:6.966365
22:55:6.966525,22:55:6.966615,22:55:6.966648,22:55:6.966732
22:56:6.966885,22:56:6.967002,22:56:6.967034,22:56:6.967109
22:57:6.967278,22:57:6.967396,22:57:6.967425,22:57:6.967473
22:58:6.967651,22:58:6.967737,22:58:6.967770,22:58:6.967849
22:59:6.968000,22:59:6.968113,22:59:6.968142,22:59:6.968215
23:0:6.968378,23:0:6.968525,23:0:6.968560,23:0:6.968639
23:1:6.968802,23:1:6.968956,23:1:6.968986,23:1:6.969103
23:2:6.969259,23:2:6.969373,23:2:6.969403,23:2:6.969514
23:3:6.969688,23:3:6.969784,23:3:6.969821,23:3:6.969871
23:4:6.970028,23:4:6.970118,23:4:6.970151,23:4:6.970229
23:5:6.970384,23:5:6.970500,23:5:6.970529,23:5:6.970640
23:6:6.970802,23:6:6.970919,23:6:6.970948,23:6:6.971022
23:7:6.971181,23:7:6.971297,23:7:6.971330,23:7:6.971406
23:8:6.971563,23:8:6.971680,23:8:6.971711,23:8:6.971759
23:9:6.971916,23:9:6.972070,23:9:6.972100,23:9:6.972175
23:10:6.972332,23:10:6.972482,23:10:6.972518,23:10:6.972597
23:11:6.972750,23:11:6.972879,23:11:6.972906,23:11:6.972967
23:12:6.973111,23:12:6.973265,23:12:6.973294,23:12:6.973411
23:13:6.973539,23:13:6.973655,23:13:6.973684,23:13:6.973758
23:14:6.973905,23:14:6.974057,23:14:6.974094,23:14:6.974172
23:15:6.974319,23:15:6.974477,23:15:6.974506,23:15:6.974621
23:16:6.974765,23:16:6.974878,23:16:6.974907,23:16:6.974981
23:17:6.975127,23:17:6.975280,23:17:6.975309,23:17:6.975379
23:18:6.975526,23:18:6.975680,23:18:6.975710,23:18:6.975827
